"Scenario Description","Test Case ID","Pre Condition","Steps to Execute","Expected Result","Actual Result","Status","Executed QA Name","Misc (Comments)"
"","","","3. Submit.","","","","",""
"Validate auto-population of user details in loan application for returning users","TC_LA_014","User is logged in and has prior applications","1. Go to loan application page.","System should auto-populate stored user details to save time, allowing editing if needed.","User details auto-populated successfully.","Passed","Paridhi","User details pre-filled for convenience"
"","","","2. Observe if user details are auto-populated.","","","","",""
"","","","3. Submit application.","","","","",""
"Check handling of loan application timeout if user is inactive during form submission","TC_LA_015","None","1. Go to loan application page.","System should prompt user to re-login and re-enter data if timeout is exceeded.","Timeout occurred, re-login required.","Passed","Paridhi","Session timeout enforcement"
"","","","2. Fill in details partially, then remain idle.","","","","",""
"","","","3. Try submitting after timeout duration.","","","","",""
"Test special loan application terms for senior citizens","TC_LA_016","Applicant age is 60+","1. Go to loan application page as senior citizen.","System should apply special terms/rates for senior citizens.","Special terms applied correctly.","Passed","Paridhi","Senior citizen loan policy"
"","","","2. Enter valid details and submit.","","","","",""
"Validate loan application submission with joint applicants","TC_LA_017","Joint applicant functionality enabled","1. Go to loan application page.","System should accept details for both applicants and process as a joint application.","Joint application processed successfully.","Passed","Paridhi","Joint application functionality"
"","","","2. Select joint applicant option.","","","","",""
"","","","3. Enter details for both applicants.","","","","",""
"","","","4. Submit.","","","","",""
"Ensure error handling for API failures during income verification","TC_LA_018","API for income validation is intermittently down","1. Go to loan application page.","System should handle API failure gracefully, notifying user of temporary issue and prompting to retry later.","API failure handled gracefully.","Passed","Paridhi","Robust API error handling"
"","","","2. Enter income and submit while API is down.","","","","",""
"Test saving application as draft before final submission","TC_LA_019","Draft save functionality enabled","1. Go to loan application page.","User should be able to save partially and complete submission later.","Draft saved and resumed successfully.","Passed","Paridhi","Draft functionality confirmed"
"","","","2. Partially fill form and select ""Save as Draft.""","","","","",""
"","","","3. Revisit draft and complete submission.","","","","",""
"Verify maximum application length for text fields (address, employer name, etc.)","TC_LA_020","None","1. Enter maximum characters in text fields.","System should accept up to the character limit, showing error for exceeding input.","Character limits enforced correctly.","Passed","Paridhi","Text field length validation"
"","","","2. Submit application.","","","","",""
